english,swedish
apple,äpple
banana,banan
bicycle,cykel
book,bok
candle,stearinljus
car,bil
chair,stol
clock,klocka
cloud,moln
coffee cup,kaffekopp
door,dörr
envelope,kuvert
eyeglasses,glasögon
fish,fisk
flower,blomma
fork,gaffel
hammer,hammare
hand,hand
hat,hatt
house,hus
ice cream,glass
key,nyckel
ladder,stege
leaf,löv
light bulb,glödlampa
mushroom,svamp
pencil,penna
pizza,pizza
scissors,sax
shoe,sko
sock,strumpa
spoon,sked
star,stjärna
sun,sol
table,bord
telephone,telefon
television,TV
toothbrush,tandborste
tree,träd
umbrella,paraply
airplane,flygplan
backpack,ryggsäck
bed,säng
broom,kvast
camera,kamera
guitar,gitarr
headphones,hörlurar
lollipop,slickepinne
owl,uggla
